id,home_team_api_id,away_team_api_id,match_api_id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal,home_player_1,home_player_2,home_player_3,home_player_4,home_player_5,home_player_6,home_player_7,home_player_8,home_player_9,home_player_10,home_player_11,away_player_1,away_player_2,away_player_3,away_player_4,away_player_5,away_player_6,away_player_7,away_player_8,away_player_9,away_player_10,away_player_11
1751,8668,9879,489144,8668,9879,1,0,31465.0,30371.0,24004.0,23268.0,33086.0,36012.0,24006.0,39618.0,24011.0,30876.0,24160.0,30633.0,37266.0,23780.0,26777.0,24781.0,24020.0,24843.0,30338.0,24737.0,24741.0,31907.0
1752,8549,8654,489145,8549,8654,1,1,22978.0,24166.0,24163.0,24167.0,24161.0,24753.0,24393.0,33128.0,30892.0,42183.0,35608.0,36374.0,30687.0,24751.0,23818.0,26348.0,36394.0,109898.0,24747.0,30734.0,33781.0,118390.0
1753,10261,10252,489146,10261,10252,2,0,24224.0,25518.0,24228.0,30929.0,37475.0,33852.0,24205.0,30360.0,34574.0,37799.0,24225.0,30380.0,30357.0,33863.0,43280.0,23282.0,38807.0,24780.0,23782.0,23354.0,26165.0,23264.0
1754,8559,8456,489147,8559,8456,2,0,23932.0,26454.0,23783.0,24336.0,23785.0,23784.0,23933.0,35532.0,37996.0,23934.0,24372.0,31432.0,30509.0,24211.0,23939.0,24208.0,24213.0,39027.0,40198.0,30367.0,107216.0,33974.0
1755,8659,8655,489148,8659,8655,2,2,36373.0,31731.0,42594.0,26527.0,24728.0,24171.0,24664.0,40055.0,38433.0,32570.0,27267.0,30622.0,49571.0,19020.0,23921.0,25667.0,30842.0,38711.0,30849.0,24136.0,34176.0,34947.0
1756,8462,8528,489149,8462,8528,1,2,36286.0,34036.0,24216.0,34418.0,40987.0,25517.0,23988.0,24653.0,63520.0,30830.0,30348.0,34421.0,34987.0,24230.0,35472.0,111865.0,35327.0,97988.0,25150.0,24663.0,34466.0,127857.0
1757,10194,9825,489150,10194,9825,2,1,23794.0,40574.0,40005.0,40695.0,35467.0,35636.0,23333.0,24133.0,25668.0,38755.0,23314.0,23686.0,26111.0,30831.0,30616.0,31291.0,39297.0,30613.0,23678.0,27277.0,30960.0,36410.0
1758,8455,8472,489151,8455,8472,5,0,30859.0,25925.0,26564.0,30627.0,38834.0,30686.0,32345.0,30631.0,30630.0,37804.0,30679.0,24527.0,38836.0,24446.0,24740.0,43259.0,38802.0,24411.0,24655.0,30352.0,109434.0,30988.0
1759,9825,10260,489152,9825,10260,2,1,23686.0,26111.0,38835.0,30616.0,31291.0,31013.0,30613.0,39297.0,26181.0,27277.0,36410.0,30726.0,30615.0,30620.0,30865.0,32569.0,30893.0,40961.0,34944.0,30802.0,30829.0,27430.0
1760,8650,8659,489153,8650,8659,3,0,30660.0,37442.0,30617.0,25984.0,34222.0,24800.0,38818.0,30618.0,37920.0,37139.0,24635.0,36373.0,31731.0,42594.0,26527.0,24728.0,40055.0,38433.0,24664.0,31088.0,32570.0,27267.0
1761,8472,8462,489154,8472,8462,1,2,24527.0,36786.0,24740.0,24446.0,24408.0,38802.0,24411.0,17866.0,30352.0,33418.0,24410.0,36286.0,34036.0,24216.0,34418.0,24630.0,38820.0,24653.0,23988.0,40987.0,30830.0,30348.0
1762,8654,8668,489155,8654,8668,1,3,36374.0,30687.0,24751.0,23818.0,26348.0,36394.0,24223.0,33049.0,30734.0,33781.0,118390.0,31465.0,30371.0,24004.0,23268.0,33086.0,24011.0,30876.0,109058.0,24006.0,30735.0,25666.0
1763,10252,8549,489156,10252,8549,1,2,30380.0,33863.0,24658.0,43280.0,23282.0,24780.0,23782.0,23283.0,38807.0,23264.0,23354.0,22978.0,33754.0,24163.0,24167.0,24161.0,24753.0,24393.0,33128.0,30892.0,42183.0,35608.0
1764,8456,8586,489157,8456,8586,1,2,31432.0,30509.0,24208.0,24211.0,33963.0,30367.0,24213.0,42119.0,30340.0,33974.0,25342.0,30455.0,46403.0,38697.0,30354.0,40006.0,23760.0,24656.0,34182.0,30818.0,31097.0,23949.0
1765,8655,8455,489158,8655,8455,0,2,30622.0,49571.0,35506.0,23921.0,25667.0,30849.0,24136.0,,38711.0,23916.0,34176.0,30859.0,25925.0,26564.0,30627.0,30635.0,30631.0,32345.0,30686.0,31906.0,37804.0,30679.0
1766,9879,10261,489159,9879,10261,2,1,30633.0,37266.0,23780.0,26777.0,24781.0,24020.0,24843.0,30338.0,24737.0,24741.0,31907.0,24224.0,25518.0,30929.0,26161.0,37475.0,33852.0,30360.0,24205.0,34574.0,37799.0,24225.0
1767,8667,8559,489160,8667,8559,0,1,23021.0,40132.0,34275.0,26066.0,23022.0,34437.0,23023.0,30595.0,39073.0,23352.0,26143.0,23932.0,26454.0,23783.0,24336.0,23785.0,23934.0,23784.0,35532.0,24372.0,23937.0,34261.0
